CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,800","1,913.70","1,984.05","1,800","15,450.00","9,000",0.60,0.65,50,-0.85,0.60,47.65,"46,281",559,"10,724",
,5,-12,29,-,"1,900.00",49.00,300,"1,892.65","1,906.35",50,"15,500.00","23,900",0.60,0.65,"23,500",-0.90,0.60,46.48,"83,923","-7,511","51,344",
,-,-,-,-,-,-,"1,800","1,816.25","1,922.50","1,500","15,550.00","6,600",0.65,0.95,"1,950",-0.65,0.95,47.49,"7,836",-422,"2,364",
,-,-,-,-,-,-,"1,800","1,763.10","1,832.80","1,800","15,600.00","43,750",0.80,0.90,"3,150",-0.85,0.80,45.45,"33,435","-2,396","24,581",
,-,-,-,-,-,-,"1,800","1,716.65","1,782.75","1,800","15,650.00","8,650",0.70,0.90,950,-1.00,0.80,44.26,"3,214",-170,"1,165",
,-,-,-,-,-,-,"1,800","1,663.65","1,734.35","1,800","15,700.00","18,300",0.75,0.90,150,-1.10,0.75,42.77,"55,037","-1,469","29,391",
,-,-,-,-,-,-,"1,800","1,615.30","1,685.05","1,800","15,750.00","2,800",0.80,0.95,"1,000",-1.20,0.80,41.87,"4,240",-359,"1,992",
,16,-,-,-,"1,215.00",-,150,"1,574.80","1,615.95",150,"15,800.00",450,0.85,0.90,"1,800",-1.10,0.90,41.19,"34,377","-1,819","23,337",
,-,-,-,-,-,-,150,"1,523.40","1,566.75",150,"15,850.00",800,0.85,1.00,"1,800",-1.35,0.80,39.49,"8,300",-785,"5,305",
,-,-,-,-,-,-,150,"1,481.65","1,517.25",150,"15,900.00",150,0.85,0.95,"10,150",-1.25,0.85,38.55,"47,426",-572,"18,824",
,-,-,-,-,-,-,150,"1,442.85","1,467.25",200,"15,950.00","5,400",0.90,1.10,"1,000",-1.20,1.00,38.02,"18,554","-1,079","2,773",
,"4,752","-2,938","5,564",-,"1,400.10",38.40,550,"1,394.10","1,400.00",500,"16,000.00",650,0.80,0.90,"1,250",-1.35,0.80,35.92,"1,11,156","-14,538","52,567",
,-,-,-,-,-,-,100,"1,343.20","1,367.25",400,"16,050.00",400,0.80,2.45,"1,800",0.25,2.55,39.92,"19,293",-837,"3,038",
,9,-,-,-,"1,156.90",-,700,"1,274.10","1,338.70",650,"16,100.00","37,450",0.75,2.25,"1,500",-1.50,0.80,33.54,"46,813","-4,031","9,759",
,4,1,2,-,"1,222.95",367.95,50,"1,243.10","1,267.15",150,"16,150.00",600,0.80,1.05,300,-1.50,1.05,33.35,"23,996","-1,416","3,628",
,18,-2,4,-,"1,200.70",40.40,50,"1,196.00","1,211.40",150,"16,200.00","16,100",0.85,1.35,200,-1.55,1.05,32.13,"90,121","-10,866","26,416",
,9,-,-,-,"1,069.00",-,100,"1,144.50","1,163.10",550,"16,250.00","1,000",0.95,2.40,250,-1.90,0.90,30.37,"27,759","-2,315","3,663",
,66,-18,62,-,"1,076.05",20.00,650,"1,070.50","1,112.05",850,"16,300.00","14,800",1.00,1.55,"1,550",-1.40,1.55,31.13,"1,31,511","-13,957","17,943",
,10,-,-,-,924.55,-,150,"1,043.75","1,066.55",150,"16,350.00","2,450",1.10,1.95,"1,800",-2.00,1.10,28.62,"46,100",-693,"6,236",
,271,3,11,-,"1,002.35",48.25,150,972.35,"1,028.75","1,050","16,400.00",200,1.30,1.60,"1,400",-1.80,1.60,28.70,"2,09,040","-12,615","31,028",
,10,-,-,-,874.90,-,100,945.55,970.55,150,"16,450.00",850,1.15,1.75,100,-2.65,1.05,26.01,"75,402","-1,658","12,629",
,"10,819","-1,633","3,983",-,900.65,39.10,100,897.25,902.50,250,"16,500.00","2,100",1.30,1.60,900,-2.65,1.60,26.14,"4,28,445","-14,499","95,701",
,186,-,2,-,790.20,-55.30,"2,150",840.80,858.10,750,"16,550.00",800,1.35,2.50,400,-3.25,1.30,24.19,"97,940","-5,625","7,988",
,491,-61,444,-,804.25,44.30,100,796.65,819.95,"2,600","16,600.00",100,1.50,1.75,"1,050",-3.30,1.75,23.86,"3,37,137","-9,554","43,518",
,176,-30,199,-,757.20,50.45,400,720.55,753.60,400,"16,650.00",350,1.60,2.00,50,-4.15,1.60,22.28,"1,63,295","-13,424","12,348",
,"2,377",-178,647,-,702.80,41.85,"3,100",666.25,733.55,"3,450","16,700.00","1,850",1.75,1.90,"4,250",-4.60,1.85,21.41,"4,02,816","18,129","60,261",
,157,-8,29,-,649.90,33.70,100,621.45,655.30,100,"16,750.00",650,1.90,2.15,650,-5.35,2.15,20.53,"3,06,475","-2,610","24,452",
,"1,093",-569,"2,464",-,602.00,38.60,100,598.10,604.00,100,"16,800.00",50,2.10,2.35,950,-6.25,2.30,19.38,"6,89,404","15,586","89,965",
,312,-88,592,-,554.30,35.90,100,522.10,553.55,300,"16,850.00","1,400",2.55,2.75,650,-7.55,2.55,18.30,"5,10,595","8,050","42,169",
,"4,003",-473,"3,953",-,501.75,30.80,100,498.90,502.65,100,"16,900.00",500,2.70,2.95,150,-9.50,2.70,17.06,"9,03,356","8,642","67,672",
,"1,319",-297,"1,254",-,452.80,23.90,100,450.05,467.45,150,"16,950.00",150,3.35,3.60,100,-11.55,3.60,16.44,"6,27,051","19,118","50,305",
,"49,626","-6,224","62,992",-,401.40,26.20,250,401.10,403.00,300,"17,000.00",450,3.95,4.15,"2,700",-15.05,3.90,15.17,"15,30,913","17,626","1,79,892",
,"6,067","-1,447","10,004",-,354.90,27.35,300,351.65,354.80,100,"17,050.00","1,200",4.70,5.15,50,-19.00,4.60,14.10,"7,33,834","11,675","46,676",
,"20,923","-6,219","1,11,542",-,304.00,14.35,100,304.05,306.00,50,"17,100.00","3,050",6.80,6.85,200,-23.10,6.80,13.65,"13,81,908","24,721","1,17,050",
,"7,618","-1,469","61,288",-,258.95,13.00,100,256.50,259.00,750,"17,150.00",100,9.55,9.65,50,-27.70,9.70,13.07,"9,54,161","14,590","48,167",
,"31,760","-13,610","4,89,477",-,212.05,4.00,700,212.05,213.85,100,"17,200.00","10,400",14.00,14.45,200,-33.10,14.45,12.65,"18,61,913","8,105","1,32,881",
,"13,411","-4,210","3,87,470",8.77,170.30,-0.35,50,169.00,170.30,250,"17,250.00","3,650",21.00,21.25,50,-39.30,21.05,12.17,"12,78,115","-12,536","66,784",
,"55,408","-13,672","20,41,042",8.94,129.20,-6.80,50,129.10,130.00,"1,450","17,300.00",100,31.35,31.40,400,-44.05,31.45,11.88,"29,72,340","-2,514","1,27,656",
,"52,332",836,"22,81,469",9.34,95.00,-10.10,50,93.30,95.00,"4,450","17,350.00",550,45.40,45.65,900,-49.90,45.40,11.51,"23,10,364","47,029","83,666",
,"1,31,460","37,321","38,99,969",9.32,65.00,-13.75,50,64.55,66.00,"5,650","17,400.00","2,850",66.00,66.10,500,-52.70,66.10,11.46,"27,66,399","52,833","84,334",
,"80,238","37,874","17,53,551",9.47,42.70,-14.15,50,42.10,42.70,550,"17,450.00","1,000",92.15,93.95,50,-53.45,94.00,11.70,"5,67,348","4,638","19,838",
,"1,54,828","41,827","27,42,761",9.45,25.80,-13.00,"11,300",25.00,25.80,850,"17,500.00",450,126.00,127.00,"1,850",-52.75,126.50,11.84,"7,14,449","-3,299","33,148",
,"78,827","16,175","13,50,292",9.23,13.60,-12.05,450,13.60,13.65,300,"17,550.00",100,163.15,164.00,150,-51.45,164.00,12.08,"1,13,599",-233,"3,659",
,"1,42,685","39,122","18,32,332",9.36,7.30,-8.90,50,6.90,7.30,150,"17,600.00",300,205.90,207.00,"1,250",-49.60,207.00,12.80,"1,14,850","1,738","6,344",
,"1,13,436","46,712","10,05,724",9.46,3.65,-5.95,50,3.65,3.70,"1,700","17,650.00",200,252.65,256.05,100,-50.55,255.00,14.36,"11,458",-99,"32,579",
,"1,85,827","57,264","13,38,022",9.98,2.20,-4.25,100,2.25,2.40,200,"17,700.00",200,301.15,304.60,50,-42.45,304.00,16.04,"15,531",-171,"35,295",
,"41,321","10,368","5,96,267",10.67,1.50,-2.20,850,1.50,1.55,50,"17,750.00",450,349.65,354.30,200,-44.80,349.05,16.25,"1,810",-75,"5,980",
,"1,08,539","24,759","9,73,473",11.35,1.05,-1.70,"1,44,000",1.05,1.10,"1,00,600","17,800.00",50,400.40,402.00,50,-50.45,399.70,18.24,"4,766",-23,"16,461",
,"48,533","6,173","2,95,014",12.41,0.95,-1.10,"6,850",0.95,1.15,50,"17,850.00",450,426.35,453.75,100,-47.25,450.50,20.27,"3,170",74,"20,218",
,"72,118","15,099","3,41,157",13.41,0.85,-0.75,"1,52,700",0.85,0.90,"1,49,600","17,900.00",50,499.70,503.15,100,-32.90,499.85,21.70,"3,321",29,"21,610",
,"8,884","-8,001","1,57,238",14.46,0.80,-0.60,"8,350",0.80,0.85,"1,550","17,950.00",450,549.05,571.90,750,-48.50,546.55,21.79,24,-6,125,
,"94,716","10,548","4,01,384",15.61,0.80,-0.55,"2,30,700",0.75,0.80,"3,71,550","18,000.00",100,599.65,603.35,100,-37.30,600.00,25.05,"6,494","-1,700","5,924",
,"9,147","-1,893","69,919",16.47,0.70,-0.50,"7,850",0.70,0.75,"2,600","18,050.00","2,950",638.95,675.75,"2,850",-112.35,669.00,33.72,21,8,8,
,"30,610","7,737","1,88,450",17.57,0.70,-0.40,"45,200",0.65,0.70,"7,450","18,100.00",150,698.15,721.80,50,-26.95,720.00,35.86,94,-,151,
,"4,148","-1,941","47,942",18.51,0.65,-0.45,"8,400",0.65,0.70,"8,950","18,150.00",150,720.35,756.50,"3,050",-,839.00,-,-,-,48,
,"34,823","11,228","1,26,344",19.76,0.70,-0.25,"7,050",0.65,0.70,"42,700","18,200.00",100,797.60,803.55,100,-55.55,796.80,29.55,565,39,"1,180",
,"2,737",11,"29,108",20.27,0.55,-0.45,"24,300",0.55,0.80,"3,500","18,250.00",150,828.65,857.30,150,-,"1,240.00",-,-,-,6,
,"16,047","7,374","71,229",21.72,0.65,-0.25,"8,200",0.60,0.65,"5,950","18,300.00",200,897.45,924.90,150,-40.45,896.85,32.52,41,5,570,
,"1,391",82,"25,698",22.12,0.50,-0.45,"3,450",0.50,0.75,50,"18,350.00",150,933.55,957.10,"1,850",-,"1,030.00",-,-,-,16,
,"6,499",-328,"43,635",22.89,0.45,-0.40,"2,08,800",0.45,0.50,"22,450","18,400.00",400,996.50,"1,003.85",200,-51.75,998.45,36.44,207,189,431,
,640,-123,"25,679",24.16,0.50,-0.35,"35,750",0.45,0.50,"1,650","18,450.00",150,"1,033.35","1,057.55",750,-,-,-,-,-,-,
,"20,490",-88,"83,606",24.89,0.45,-0.30,"49,850",0.45,0.50,"97,800","18,500.00",100,"1,097.10","1,104.80",100,-45.45,"1,094.00",36.01,304,114,"1,830",
,"1,515",605,"23,261",25.57,0.40,-0.40,"1,19,250",0.40,0.45,650,"18,550.00",300,"1,132.60","1,157.50",550,-,-,-,-,-,-,
,"8,080","5,382","38,426",26.55,0.40,-0.35,"7,150",0.40,0.45,"82,000","18,600.00",550,"1,192.10","1,219.65",550,-29.30,"1,194.65",39.27,8,-,147,
,"2,436","1,387","24,015",27.16,0.35,-0.40,"1,22,150",0.35,0.40,"5,400","18,650.00",150,"1,233.00","1,257.50",550,-,-,-,-,-,-,
,"6,364","4,393","29,951",28.11,0.35,-0.40,"1,54,200",0.35,0.40,"23,600","18,700.00",50,"1,281.55","1,322.85",150,-8.00,"1,590.00",-,-,-,60,
,948,586,"8,804",29.05,0.35,-0.40,"23,100",0.35,0.40,"8,500","18,750.00",150,"1,323.90","1,357.40",150,-,-,-,-,-,-,
,"1,330",121,"6,107",29.99,0.35,-0.35,"3,750",0.35,0.45,"4,600","18,800.00",800,"1,370.00","1,425.40",800,-,"1,480.00",-,-,-,113,
,223,124,997,31.33,0.40,-0.30,"2,800",0.35,0.45,350,"18,850.00",100,"1,415.85","1,478.15",100,-,-,-,-,-,-,
,"3,317",112,"7,200",31.86,0.35,-0.40,"16,750",0.35,0.45,"5,900","18,900.00",300,"1,473.90","1,506.75",300,-,"1,887.00",-,-,-,6,
,145,4,"1,370",32.78,0.35,-0.40,"9,000",0.30,0.40,"1,650","18,950.00",50,"1,517.65","1,587.30","1,500",-,-,-,-,-,-,
,"34,110","6,188","1,32,340",33.70,0.35,-0.40,"15,400",0.35,0.40,"1,95,000","19,000.00",50,"1,597.90","1,621.35",100,-8.60,"1,641.50",73.91,34,-20,83,
,252,123,"5,920",34.62,0.35,-0.40,550,0.35,0.40,550,"19,050.00","1,800","1,615.25","1,677.50","1,800",-,-,-,-,-,-,
,"3,837",615,"12,418",35.98,0.40,-0.25,"17,050",0.35,0.40,"6,000","19,100.00","1,800","1,666.55","1,726.90","1,800",4.60,"1,734.60",74.55,11,-4,1,
,887,308,"11,309",35.93,0.30,-0.35,"19,700",0.30,0.40,750,"19,150.00","1,800","1,715.00","1,783.05","1,800",-,-,-,-,-,-,
,"11,339",27,"51,430",36.82,0.30,-0.35,"2,08,950",0.30,0.35,"33,250","19,200.00","1,800","1,764.45","1,832.45","1,800",-219.00,"1,881.00",93.29,2,-,1,
,"6,638",775,"22,644",37.71,0.30,-0.30,"57,700",0.30,0.35,600,"19,250.00","1,800","1,814.35","1,914.55","2,500",-,-,-,-,-,-,
